repository,default_score,repo_name,owner,project,score_category
https://github.com/battery-lcf/battery-archive-sandbox,0.18989,battery-lcf/battery-archive-sandbox,battery-lcf,battery-archive-sandbox,Low (0.1-0.3)
https://github.com/BattMoTeam/BattMo,0.36438,BattMoTeam/BattMo,BattMoTeam,BattMo,Medium (0.3-0.5)
https://github.com/rlogiacco/BatterySense,0.32825,rlogiacco/BatterySense,rlogiacco,BatterySense,Medium (0.3-0.5)
https://github.com/EnnoidMe/ENNOID-BMS,0.24796,EnnoidMe/ENNOID-BMS,EnnoidMe,ENNOID-BMS,Low (0.1-0.3)
https://github.com/TRI-AMDD/beep,0.41229,TRI-AMDD/beep,TRI-AMDD,beep,Medium (0.3-0.5)
https://github.com/jepegit/cellpy,0.43164,jepegit/cellpy,jepegit,cellpy,Medium (0.3-0.5)
https://github.com/pybamm-team/PyBaMM,0.55107,pybamm-team/PyBaMM,pybamm-team,PyBaMM,High (0.5-0.7)
https://github.com/foxBMS/foxbms-2,0.23852,foxBMS/foxbms-2,foxBMS,foxbms-2,Low (0.1-0.3)
https://github.com/pybamm-team/liionpack,0.42212,pybamm-team/liionpack,pybamm-team,liionpack,Medium (0.3-0.5)
https://github.com/sogno-platform/covee,0.21299,sogno-platform/covee,sogno-platform,covee,Low (0.1-0.3)
https://github.com/alliander-opensource/openstf,0.46006,alliander-opensource/openstf,alliander-opensource,openstf,Medium (0.3-0.5)
https://github.com/jbrowell/ProbCast,0.31346,jbrowell/ProbCast,jbrowell,ProbCast,Medium (0.3-0.5)
https://github.com/sogno-platform/proloaf,0.34351,sogno-platform/proloaf,sogno-platform,proloaf,Medium (0.3-0.5)
https://github.com/balmorelcommunity/Balmorel,0.32486,balmorelcommunity/Balmorel,balmorelcommunity,Balmorel,Medium (0.3-0.5)
https://github.com/OpenLEADR/openleadr-python,0.35338,OpenLEADR/openleadr-python,OpenLEADR,openleadr-python,Medium (0.3-0.5)
https://github.com/arnolddevos/CIMTool,0.19203,arnolddevos/CIMTool,arnolddevos,CIMTool,Low (0.1-0.3)
https://github.com/calliope-project/calliope,0.42095,calliope-project/calliope,calliope-project,calliope,Medium (0.3-0.5)
https://github.com/danielePala/CIMDraw,0.22204,danielePala/CIMDraw,danielePala,CIMDraw,Low (0.1-0.3)
https://github.com/quintel/etmodel,0.49985,quintel/etmodel,quintel,etmodel,Medium (0.3-0.5)
https://github.com/energyPATHWAYS/energyPATHWAYS,0.31829,energyPATHWAYS/energyPATHWAYS,energyPATHWAYS,energyPATHWAYS,Medium (0.3-0.5)
https://github.com/FZJ-IEK3-VSA/FINE,0.37817,FZJ-IEK3-VSA/FINE,FZJ-IEK3-VSA,FINE,Medium (0.3-0.5)
https://github.com/JGCRI/gcam-core,0.51856,JGCRI/gcam-core,JGCRI,gcam-core,High (0.5-0.7)
https://github.com/OSeMOSYS/OSeMOSYS,0.37383,OSeMOSYS/OSeMOSYS,OSeMOSYS,OSeMOSYS,Medium (0.3-0.5)
https://github.com/oemof/oemof,0.43406,oemof/oemof,oemof,oemof,Medium (0.3-0.5)
https://github.com/NREL-SIIP/PowerSimulations.jl,0.46353,NREL-SIIP/PowerSimulations.jl,NREL-SIIP,PowerSimulations.jl,Medium (0.3-0.5)
https://github.com/EMLab/emlab-generation,0.23344,EMLab/emlab-generation,EMLab,emlab-generation,Low (0.1-0.3)
https://github.com/Breakthrough-Energy/plug,0.25668,Breakthrough-Energy/plug,Breakthrough-Energy,plug,Low (0.1-0.3)
https://github.com/nilmtk/nilmtk,0.47164,nilmtk/nilmtk,nilmtk,nilmtk,Medium (0.3-0.5)
https://github.com/hubblo-org/scaphandre,0.41154,hubblo-org/scaphandre,hubblo-org,scaphandre,Medium (0.3-0.5)
https://github.com/wattdepot/wattdepot,0.24218,wattdepot/wattdepot,wattdepot,wattdepot,Low (0.1-0.3)
https://github.com/MATPOWER/most,0.30611,MATPOWER/most,MATPOWER,most,Medium (0.3-0.5)
https://github.com/KTH-dESA/OnSSET-2016,0.28681,KTH-dESA/OnSSET-2016,KTH-dESA,OnSSET-2016,Low (0.1-0.3)
https://github.com/bje-/NEMO,0.2631,bje-/NEMO,bje-,NEMO,Low (0.1-0.3)
https://github.com/lanl-ansi/PowerModels.jl,0.44659,lanl-ansi/PowerModels.jl,lanl-ansi,PowerModels.jl,Medium (0.3-0.5)
https://github.com/NREL/REopt_Lite_API,0.41849,NREL/REopt_Lite_API,NREL,REopt_Lite_API,Medium (0.3-0.5)
https://github.com/switch-model/switch,0.39735,switch-model/switch,switch-model,switch,Medium (0.3-0.5)
https://github.com/TemoaProject/temoa,0.41455,TemoaProject/temoa,TemoaProject,temoa,Medium (0.3-0.5)
https://github.com/tum-ewk/ficus,0.17691,tum-ewk/ficus,tum-ewk,ficus,Low (0.1-0.3)
https://github.com/tum-ens/dhmin,0.20122,tum-ens/dhmin,tum-ens,dhmin,Low (0.1-0.3)
https://github.com/adamgreenhall/minpower,0.25029,adamgreenhall/minpower,adamgreenhall,minpower,Low (0.1-0.3)
https://github.com/frkunz/stELMOD,0.20922,frkunz/stELMOD,frkunz,stELMOD,Low (0.1-0.3)
