repository_name,repository_url,project_name,category,scorecard_aggregate,criticality_score,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities
ADGEfficiency/energy-py,https://github.com/ADGEfficiency/energy-py,energy-py,Other,3.4,0.24724,10.0,3.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0
AntaresSimulatorTeam/Antares_Simulator,https://github.com/AntaresSimulatorTeam/Antares_Simulator,Antares Simulator,Other,5.3,0.46824,8.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
Azure/opendigitaltwins-energygrid,https://github.com/Azure/opendigitaltwins-energygrid,Digital Twins Definition Language ontology for Energy Grid,Other,3.4,0.28509,10.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,10.0,,,10.0
BEMRosetta/BEMRosetta,https://github.com/BEMRosetta/BEMRosetta,BEMRosetta,Other,3.3,0.27593,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,10.0,,,0.0,0.0,0.0,,10.0
BattMoTeam/BattMo,https://github.com/BattMoTeam/BattMo,BattMo,Batteries,3.7,0.36438,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,2.0
BioSTEAMDevelopmentGroup/biosteam,https://github.com/BioSTEAMDevelopmentGroup/biosteam,biosteam,Other,4.5,0.43536,10.0,6.0,,0.0,0.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,8.0
BreakingBytes/pvfree,https://github.com/BreakingBytes/pvfree,PV Free,Other,4.6,0.30823,10.0,3.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,4.0,,0.0,0.0,0.0,,0.0,10.0
Breakthrough-Energy/PowerSimData,https://github.com/Breakthrough-Energy/PowerSimData,PowerSimData,Simulation,4.5,0.34374,10.0,6.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0
Breakthrough-Energy/REISE.jl,https://github.com/Breakthrough-Energy/REISE.jl,REISE.jl,Simulation,4.0,0.29435,10.0,7.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,2.0
Breakthrough-Energy/REISE.jl,https://github.com/Breakthrough-Energy/REISE.jl,REISE.jl,Simulation,4.0,0.29435,10.0,7.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,2.0
BrickSchema/Brick,https://github.com/BrickSchema/Brick,Brick,Other,4.8,0.41478,10.0,3.0,8.0,0.0,3.0,10.0,10.0,10.0,0.0,10.0,8.0,,0.0,0.0,0.0,0.0,0.0,7.0
CalebBell/thermo,https://github.com/CalebBell/thermo,thermo,Other,2.3,0.39064,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0
CalebBell/thermo,https://github.com/CalebBell/thermo,thermo,Other,2.3,0.39064,10.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0
CenterForTheBuiltEnvironment/clima,https://github.com/CenterForTheBuiltEnvironment/clima,CBE Clima Tool,Other,4.5,0.33221,10.0,3.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,1.0,0.0,0.0,,0.0,9.0
CenterForTheBuiltEnvironment/comfort_tool,https://github.com/CenterForTheBuiltEnvironment/comfort_tool,comfort_tool,Other,4.3,0.3704,10.0,3.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,0.0
DemandRegioTeam/disaggregator,https://github.com/DemandRegioTeam/disaggregator,disaggregator,Other,3.1,0.2841,10.0,5.0,,0.0,0.0,0.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,10.0
DuraMAT/pv-terms,https://github.com/DuraMAT/pv-terms,pv-terms,Other,2.9,0.26442,10.0,0.0,,0.0,0.0,10.0,,0.0,0.0,10.0,0.0,,,0.0,0.0,,,9.0
