package_name,ecosystem,cve_id,severity,cvss_score,description,published_date,affected_projects
numpy,pypi,GHSA-fpfv-jqm9-f5jm,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,Incorrect Comparison in NumPy,2021-12-18T00:00:41Z,102
numpy,pypi,GHSA-5545-2q6w-2gh6,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,NumPy NULL Pointer Dereference,2022-02-08T00:00:56Z,102
numpy,pypi,GHSA-6p56-wp2h-9hxr,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H,NumPy Buffer Overflow (Disputed),2022-01-07T00:09:39Z,102
numpy,pypi,GHSA-f7c7-j99h-c22f,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,Buffer Copy without Checking Size of Input in NumPy,2022-02-08T00:00:56Z,102
numpy,pypi,GHSA-frgw-fgh6-9g52,CVSS_V3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,Numpy missing input validation,2022-05-13T01:42:46Z,102
numpy,pypi,GHSA-9fq2-x9r6-wfmf,CVSS_V3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Numpy Deserialization of Untrusted Data,2022-05-24T22:00:57Z,102
numpy,pypi,GHSA-2fc2-6r4j-p65h,CVSS_V3,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,Numpy arbitrary file write via symlink attack,2022-05-14T01:08:34Z,102
numpy,pypi,GHSA-cw6w-4rcx-xphc,CVSS_V3,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,Arbitrary file write in NumPy,2022-05-14T03:48:04Z,102
numpy,pypi,PYSEC-2017-1,UNKNOWN,,"The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.",2017-08-15T16:29:00Z,102
numpy,pypi,PYSEC-2018-33,UNKNOWN,,__init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.,2018-01-08T19:29:00Z,102
numpy,pypi,PYSEC-2018-34,UNKNOWN,,"(1) core/tests/test_memmap.py, (2) core/tests/test_multiarray.py, (3) f2py/f2py2e.py, and (4) lib/tests/test_io.py in NumPy before 1.8.1 allow local users to write to arbitrary files via a symlink attack on a temporary file.",2018-01-08T19:29:00Z,102
numpy,pypi,PYSEC-2019-108,UNKNOWN,,"** DISPUTED **   An issue was discovered in NumPy 1.16.0 and earlier. It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call. NOTE: third parties dispute this issue because it is  a behavior that might have legitimate applications in (for example)  loading serialized Python object arrays from trusted and authenticated  sources.",2019-01-16T05:29:00Z,102
numpy,pypi,PYSEC-2021-854,UNKNOWN,,"A Buffer Overflow vulnerability exists in NumPy 1.9.x in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service.",2021-12-17T19:15:00Z,102
numpy,pypi,PYSEC-2021-855,UNKNOWN,,"Incomplete string comparison in the numpy.core component in NumPy1.9.x, which allows attackers to fail the APIs via constructing specific string objects.",2021-12-17T19:15:00Z,102
numpy,pypi,PYSEC-2021-856,UNKNOWN,,"Null Pointer Dereference vulnerability exists in numpy.sort in NumPy &lt and 1.19 in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays.",2021-12-17T20:15:00Z,102
numpy,pypi,PYSEC-2021-857,UNKNOWN,,"Buffer overflow in the array_from_pyobj function of fortranobject.c in NumPy < 1.19, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values.",2021-12-17T20:15:00Z,102
pandas,pypi,PYSEC-2020-73,UNKNOWN,,"** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner.",2020-05-15T19:15:00Z,95
scipy,pypi,GHSA-xp76-357g-9wqq,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,SciPy creates insecure temporary directories,2022-05-05T00:28:59Z,75
scipy,pypi,PYSEC-2019-156,UNKNOWN,,The scipy.weave component in SciPy before 0.12.1 creates insecure temporary directories.,2019-11-04T20:15:00Z,75
scipy,pypi,PYSEC-2023-102,UNKNOWN,,A refcounting issue which leads to potential memory leak was discovered in scipy commit 8627df31ab in Py_FindObjects() function.,2023-07-05T17:15:00Z,75
scipy,pypi,PYSEC-2023-114,UNKNOWN,,** DISPUTED ** A use-after-free issue was discovered in Py_FindObjects() function in SciPy versions prior to 1.8.0. NOTE: the vendor and discoverer indicate that this is not a security issue.,2023-07-06T21:15:00Z,75
