Category;Project;Repository URL;Description;Homepage;License;Languages;Tags/Topics;Last Update;Latest Release;First Release;
Batteries;BattMo;https://github.com/BattMoTeam/BattMo;The Battery Modelling Toolbox (BattMo) is a resource for continuum modelling of electrochemical devices in MATLAB.;;GNU General Public License v3.0;MATLAB;;2023-04-25;2023-03-05;2022-03-15;
Batteries;Battery Lifecycle (BLC) Framework;https://github.com/battery-lcf/battery-archive-sandbox;The Battery Lifecycle (BLC) Framework is an open-source platform that provides tools to visualize, analyze, and share battery data through the technology development cycle, including data from material characterization, cell testing, manufacturing, and field testing.;;BSD 2-Clause License;Jupyter Notebook, Python;;2021-12-15;2021-09-10;2021-09-10;
Batteries;BatterySense;https://github.com/rlogiacco/BatterySense;A simple Arduino library to monitor battery consumption of your battery powered projects, being LiPo, LiIon, NiCd or any other battery type, single or multiple cells: if it can power your Arduino you can monitor it.;;GNU Lesser General Public License v3.0;C++;;2021-01-23;2018-05-06;2016-04-09;
Batteries;ENNOID-BMS;https://github.com/EnnoidMe/ENNOID-BMS;Open Source: Modular BMS based on LTC68XX & STM32 MCU for up to 400V EV battery pack.;;GNU General Public License v3.0;;bms, batteries, powerwall, slave-boards, battery-management-system;2021-07-19;;;
Batteries;Offgrid Systems;https://github.com/offgridsystems;An open source, wireless, engineered solution to 18650 cell packaging and integrated battery management with Tesla-like energy density. ;;JSON License;;;;;;
Batteries;PyBaMM;https://github.com/pybamm-team/PyBaMM;Fast and flexible physics-based battery models in Python.;;BSD 3-Clause "New" or "Revised" License;Python;pybamm, battery-models, solvers, python, batteries, simulation;2023-05-05;2023-05-02;2020-03-31;
Batteries;beep;https://github.com/TRI-AMDD/beep;A set of tools designed to support Battery Evaluation and Early Prediction of cycle life corresponding to the research of the d3batt program and the Toyota Research Institute.;;Apache License 2.0;Python;;2023-04-26;2022-10-03;2020-11-19;
Batteries;cellpy;https://github.com/jepegit/cellpy;Extract and tweak data from electro-chemical tests of battery cells.;;MIT License;Python;chemistry, electrochemistry, physics, data-analysis, opensource, battery;2023-05-06;2023-03-10;2017-04-21;
Batteries;foxBMS 2;https://github.com/foxBMS/foxbms-2;foxBMS is a free, open and flexible development environment to design battery management systems. It is the first modular open source BMS development platform.;;BSD 3-Clause License;C;bms, battery-management-system, battery-monitoring;2023-02-24;2023-02-24;2021-04-01;
Batteries;liionpack;https://github.com/pybamm-team/liionpack;liionpack takes a 1D PyBaMM model and makes it into a pack. You can either specify the configuration e.g. 16 cells in parallel and 2 in series (16p2s) or load a netlist.;;MIT License;Python;;2023-04-06;2023-04-06;2021-12-03;
Control;CoVee;https://github.com/sogno-platform/covee;Python package implementing several voltage control methods;;Mozilla Public License 2.0;Python;;2022-06-29;2020-10-06;2020-10-06;
Forecasting;Openstf;https://github.com/alliander-opensource/openstf;Python package which is used to make short term forecasts for the energy sector;;Mozilla Public License 2.0;HTML;forecasting, energy, python, data-science, machine-learning, time-series;2023-05-08;2023-05-08;2022-11-28;
Forecasting;ProLoaF;https://github.com/sogno-platform/proloaf;A probabilistic load forecasting project;;Apache License 2.0;Jupyter Notebook;;2022-04-02;2022-04-02;2021-06-05;
Forecasting;ProbCast;https://github.com/jbrowell/ProbCast;An R Package for Flexible Probabilistic Forecasting;;GNU General Public License v3.0;R;;2023-03-15;2022-02-10;2020-05-25;
Interfaces;CoSIF;https://git.rwth-aachen.de/acs/public/simulation/cosif;A collection of co-simulation Interface Algorithms (IA) for (geographically) distributed real-time simulation;https://www.fein-aachen.org/en/projects/cosif/;GNU General Public License v3.0;C;GD-RTS, co-simulation, interface, rscad, simulation, simulink;2020-09-15;;;
Interfaces;OpenLEADR;https://github.com/OpenLEADR/openleadr-python;Python 3 module that provides a convenient interface to OpenADR systems;https://openleadr.org/docs;Apache License 2.0;Python;openadr, python3, energy, lf-energy;2023-03-28;2023-02-09;2020-11-16;
Modeling;Balmorel;https://github.com/balmorelcommunity/Balmorel;Partial equilibrium model for analysing the electricity and combined heat and power sectors in an international perspective;http://balmorel.com;ISC License;Jupyter Notebook, GAMS;energy-system-model, gams, optimisation-model;2022-03-29;2019-12-12;2017-07-06;
Modeling;CIMTool;https://github.com/arnolddevos/CIMTool;Creates interfaces and applications using the IEC Common Information Model (CIM).;https://wiki.cimtool.org/;GNU Lesser General Public License v2.1;Java, Graphviz (DOT);;2013-12-09;;;
Modeling;CIMdraw;https://github.com/danielePala/CIMDraw;CIMDraw is a WebApp to view IEC CIM (CGMES) files;https://danielepala.github.io/CIMDraw/;GNU General Public License v3.0;Riot, JavaScript;cim, cgmes, diagram, powersystems;2021-12-23;2021-05-14;2020-10-17;
Modeling;Calliope;https://github.com/calliope-project/calliope;Multi-scale energy system modelling framework;https://www.callio.pe/;Apache License 2.0;Python;python, pyomo, energy, optimisation, energy-system;2023-04-26;2023-01-18;2013-12-10;
Modeling;Energy Transition Model (ETM);https://github.com/quintel/etmodel;An open-source, interactive tool for energy modelling which allows you to build and explore scenarios for the entire energy system of your country, region or city.;https://energytransitionmodel.com/;MIT License;Ruby, CoffeeScript, JavaScript, Haml, Sass;;2023-05-05;2023-03-13;2023-03-13;
Modeling;EnergyPATHWAYS;https://github.com/energyPATHWAYS/energyPATHWAYS;Energy and carbon planning tool for use in evaluating long-term, economy-wide greenhouse gas mitigation scenarios;;MIT License;Python;;2021-05-25;2017-02-25;2017-02-25;
Modeling;FINE;https://github.com/FZJ-IEK3-VSA/FINE;The FINE python package provides a framework for modeling, optimizing and assessing energy systems;;Other;Python;;2023-01-18;2023-01-17;2018-11-12;
Modeling;GCAM;https://github.com/JGCRI/gcam-core;The Global Change Analysis Model;http://jgcri.github.io/gcam-doc/;Eclipse Public License 2.0;R, C++;energy, land, integrated-assessment, economics, gcam, water, climate, coupled-human-natural-systems, human-earth-system;2022-06-07;2022-06-07;2011-07-11;
Modeling;OSeMOSYS;https://github.com/OSeMOSYS/OSeMOSYS;Full-fledged systems optimization model generator for long-term energy planning;http://www.osemosys.org/;Apache License 2.0;Python, GAMS;energy-model, energy, osemosys, energy-planners, investment, students;2021-05-21;;;
Modeling;Open Energy Modelling Framework (oemof);https://github.com/oemof/oemof;Modular open source framework to model energy supply systems;https://oemof.org/;MIT License;Python;;2023-01-16;2022-11-09;2020-02-20;
Modeling;PowerSimulations.jl;https://github.com/NREL-SIIP/PowerSimulations.jl;Julia for optimization simulation and modeling of PowerSystems;https://www.nrel.gov/analysis/siip.html;BSD 3-Clause "New" or "Revised" License;Julia;julia, powersystems, optimization, energy, electricity, analysis, simulations;2023-05-05;2023-05-05;2021-08-21;
Modeling;SciGRID;http://git.scigrid.de;Open source model of the German and European electricity transmission networks.;https://www.power.scigrid.de/;Apache License 2.0;Python;;;;2015-06-12;
Modeling;emlab-generation;https://github.com/EMLab/emlab-generation;Suite of Agent-Based Models of power generation, dealing with energy and carbon policy questions;;Apache License 2.0;Java, R;;2018-08-15;2013-10-18;2012-11-27;
Modeling;plug;https://github.com/Breakthrough-Energy/plug;PortabLe infrastUrcture for Grid modelling;;MIT License;Python;;2022-10-17;;;
Monitoring;NILMTK;https://github.com/nilmtk/nilmtk;Non-Intrusive Load Monitoring Toolkit;;Apache License 2.0;Python;disaggregation, python, nilm, energy, forecasting, algorithms, ipython-notebook, energy-disaggregation, nilmtk, nilm-algorithms;2022-08-11;2021-03-20;2014-02-07;
