repository,project_name,category,scorecard_aggregate,scorecard_binary_artifacts,scorecard_branch_protection,scorecard_ci_tests,scorecard_cii_best_practices,scorecard_code_review,scorecard_contributors,scorecard_dangerous_workflow,scorecard_dependency_update_tool,scorecard_fuzzing,scorecard_license,scorecard_maintained,scorecard_packaging,scorecard_pinned_dependencies,scorecard_sast,scorecard_security_policy,scorecard_signed_releases,scorecard_token_permissions,scorecard_vulnerabilities,criticality_score,repo_language,repo_license,repo_stars,repo_created_at,repo_updated_at,criticality_created_since,criticality_updated_since,criticality_contributor_count,criticality_org_count,criticality_commit_frequency,criticality_recent_release_count,criticality_updated_issues_count,criticality_closed_issues_count,criticality_issue_comment_frequency,criticality_github_mention_count,repo_name,repo_owner,repo_project,has_scorecard,has_criticality,has_both,scorecard_category,criticality_category,risk_assessment
https://github.com/ADGEfficiency/energy-py,energy-py,Other,3.4,10.0,3.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,10.0,0.24724,Python,MIT License,181.0,2017-04-03T10:14:01Z,2025-05-10T08:11:50Z,103.0,4.0,2.0,0.0,0.08,0.0,0.0,0.0,0.0,10.0,ADGEfficiency/energy-py,ADGEfficiency,energy-py,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/AntaresSimulatorTeam/Antares_Simulator,Antares Simulator,Other,5.3,8.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.46824,C,Other,77.0,2018-07-03T14:05:14Z,2025-10-03T13:51:06Z,88.0,0.0,34.0,5.0,8.46,42.0,0.0,0.0,0.0,42.0,AntaresSimulatorTeam/Antares_Simulator,AntaresSimulatorTeam,Antares_Simulator,True,True,True,Fair (4-6),Medium (0.4-0.6),Standard
https://github.com/Azure/opendigitaltwins-energygrid,Digital Twins Definition Language ontology for Energy Grid,Other,3.4,10.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,10.0,0.0,,,0.0,10.0,,,10.0,0.28509,,MIT License,60.0,2020-09-01T23:19:08Z,2021-06-11T21:38:00Z,61.0,52.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,Azure/opendigitaltwins-energygrid,Azure,opendigitaltwins-energygrid,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/BEMRosetta/BEMRosetta,BEMRosetta,Other,3.3,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,10.0,10.0,,,0.0,0.0,0.0,,10.0,0.27593,C++,GNU General Public License v3.0,101.0,2019-03-13T11:46:14Z,2025-10-03T20:01:35Z,79.0,0.0,1.0,0.0,1.08,5.0,0.0,1.0,0.0,13.0,BEMRosetta/BEMRosetta,BEMRosetta,BEMRosetta,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/BattMoTeam/BattMo,BattMo,Batteries,3.7,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,,0.0,0.0,0.0,,0.0,2.0,0.36438,MATLAB,GNU General Public License v3.0,51.0,2020-09-22T10:44:06Z,2025-09-26T15:27:01Z,61.0,0.0,12.0,1.0,10.19,0.0,0.0,0.0,0.0,115.0,BattMoTeam/BattMo,BattMoTeam,BattMo,True,True,True,Poor (2-4),Low (0.2-0.4),Standard
https://github.com/BioSTEAMDevelopmentGroup/biosteam,biosteam,Other,4.5,10.0,6.0,,0.0,0.0,10.0,10.0,0.0,0.0,9.0,10.0,,0.0,0.0,0.0,,0.0,8.0,0.43536,Python,Other,219.0,2019-01-08T12:02:16Z,2025-10-01T15:30:24Z,82.0,0.0,17.0,6.0,5.38,1.0,0.0,0.0,0.0,173.0,BioSTEAMDevelopmentGroup/biosteam,BioSTEAMDevelopmentGroup,biosteam,True,True,True,Fair (4-6),Medium (0.4-0.6),Standard
https://github.com/BreakingBytes/pvfree,PV Free,Other,4.6,10.0,3.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,4.0,,0.0,0.0,0.0,,0.0,10.0,0.30823,Python,"BSD 2-Clause ""Simplified"" License",23.0,2015-02-28T08:07:29Z,2025-10-02T05:42:59Z,129.0,0.0,3.0,2.0,2.46,0.0,0.0,0.0,0.0,5.0,BreakingBytes/pvfree,BreakingBytes,pvfree,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/Breakthrough-Energy/PowerSimData,PowerSimData,Simulation,4.5,10.0,6.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.34374,Python,MIT License,57.0,2018-11-12T19:45:02Z,2023-02-23T22:49:43Z,83.0,31.0,28.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,Breakthrough-Energy/PowerSimData,Breakthrough-Energy,PowerSimData,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/Breakthrough-Energy/REISE.jl,REISE.jl,Simulation,4.0,10.0,7.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.29435,Julia,MIT License,32.0,2020-01-07T01:48:09Z,2023-02-22T20:39:53Z,69.0,31.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,Breakthrough-Energy/REISE.jl,Breakthrough-Energy,REISE.jl,True,True,True,Fair (4-6),Low (0.2-0.4),Standard
https://github.com/BrickSchema/Brick,Brick,Other,4.8,10.0,3.0,8.0,0.0,3.0,10.0,10.0,10.0,0.0,10.0,8.0,,0.0,0.0,0.0,0.0,0.0,7.0,0.41478,Python,"BSD 3-Clause ""New"" or ""Revised"" License",334.0,2016-08-31T16:11:29Z,2025-10-02T05:29:13Z,110.0,0.0,30.0,5.0,0.81,3.0,0.0,0.0,0.0,30.0,BrickSchema/Brick,BrickSchema,Brick,True,True,True,Fair (4-6),Medium (0.4-0.6),Standard
