Category,Project,Repository URL
Interfaces,CoSIF,https://git.rwth-aachen.de/acs/public/simulation/cosif
Modeling,SciGRID,http://git.scigrid.de
Optimization,DIETER,https://www.diw.de/de/diw_01.c.599753.de/modelle.html
Other,BESOS,https://gitlab.com/energyincities/besos
Other,Backbone,https://gitlab.vtt.fi/backbone/backbone
Other,BasicDTUController,https://gitlab.windenergy.dtu.dk/OpenLAC/BasicDTUController
Other,CIMpy,https://git.rwth-aachen.de/acs/public/cim/cimpy
Other,Frictionless Energy data,https://sentinel-energy.github.io/friendly_data/
Other,ISEAFramework,https://git.rwth-aachen.de/isea/framework
Other,OMEGAlpes,https://gricad-gitlab.univ-grenoble-alpes.fr/omegalpes/omegalpes
Other,OpenGeoSys 6,https://gitlab.opengeosys.org/ogs/ogs
Other,PV generator,https://git.rwth-aachen.de/acs/public/simulation/pvgenerator
Other,Power System Analysis Toolbox,http://faraday1.ucd.ie/psat.html
Other,PowerGAMA,https://bitbucket.org/harald_g_svendsen/powergama/src
Other,PyWake,https://gitlab.windenergy.dtu.dk/TOPFARM/PyWake
Other,QBlade,https://qblade.org/downloads/
Other,SmartGridToolbox,https://gitlab.com/SmartGridToolbox/SmartGridToolbox
Other,State Space Model for Distribution Grids (SSMD),https://git.rwth-aachen.de/acs/public/simulation/ssmd
Other,TopFarm2,https://gitlab.windenergy.dtu.dk/TOPFARM/TopFarm2
Other,VILLASnode,https://git.rwth-aachen.de/acs/public/villas/node
Other,emobpy,https://gitlab.com/diw-evu/emobpy/emobpy
Other,lp_opt,https://gitlab.lrz.de/open-ees-ses/lp_opt
Other,open-MaStR,https://github.com/OpenEnergyPlatform/open-MaStR
Other,openCEM,https://github.com/openCEMorg/openCEM
Other,openENTRANCE,https://github.com/openENTRANCE/nomenclature
Other,openHistorian,https://github.com/GridProtectionAlliance/openHistorian
Other,openMIC,https://github.com/GridProtectionAlliance/openMIC
Other,openPDC,https://github.com/GridProtectionAlliance/openPDC
Other,openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES
Other,openXDA,https://github.com/GridProtectionAlliance/openXDA
Other,open_BEA,https://gitlab.lrz.de/open-ees-ses/openbea
Other,openfast,https://github.com/OpenFAST/openfast
Other,openmodelica-microgrid-gym,https://github.com/upb-lea/openmodelica-microgrid-gym
Other,openv2g,http://openv2g.sourceforge.net/
Other,origin,https://github.com/energywebfoundation/origin
Other,pandapipes,https://github.com/e2nIEE/pandapipes
Other,pandapower,https://github.com/e2nIEE/pandapower
Other,photovoltaic,https://github.com/pvedu/photovoltaic
Other,power-wheel-card,https://github.com/gurbyz/power-wheel-card
Other,powerplantmatching,https://github.com/FRESNA/powerplantmatching
Other,predict_pv_yield,https://github.com/openclimatefix/predict_pv_yield
Other,project1,https://github.com/ibpsa/project1
Other,pv-system-profiler,https://github.com/slacgismo/pv-system-profiler
Other,pv-terms,https://github.com/DuraMAT/pv-terms
Other,pvanalytics,https://github.com/pvlib/pvanalytics
Other,pvcaptest,https://github.com/pvcaptest/pvcaptest
Other,pvcompare,https://github.com/greco-project/pvcompare
Other,pvfactors,https://github.com/SunPower/pvfactors
Other,pvlib-python,https://github.com/pvlib/pvlib-python
Other,pvoutput,https://github.com/openclimatefix/pvoutput
